Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
27,Green Heron,GRHE,Butorides virescens,"Santa Ynez River, Buellton",3 Jul 1994,Mark Holmgren,Fledgling out of Nest--Brancher,,,fledgling just out of nest with another fledgling flying nearby.,"Willow Flycatcher site. With Weinstein, M.  Some results appear to be from Greaves and Kisner doing work simultaneously at 5.7 air mi downstream of Hwy 101. 4.9 to 5.3 mi W section not covered;.",34.60538,-120.27849,250,88,,SYR Buellton 3 July 1994.pdf,-13389340.260183848,4110382.3387008896
28,White-crowned Sparrow,WCSP,Zonotrichia leucophrys,"S VAFB, 0.5 mi E of Rocky Point",4 May 1995,Mark Holmgren,Fledgling under Parental Care,,,stubby-tailed fledgling seen,,34.56411,-120.62932,60,9,,VAFB S Oil Well Cyn Holmgren 4 May 1995,-13428394.477138853,4104802.082200005
30,European Starling,EUST,Sturnus vulgaris,"N VAFB, Santa Ynez River Estuary",4 Apr 1996,Mark Holmgren,Delivering Food to Nest or Cavity,telephone pole,,Adult entering vertical pole S of RR trestle with nest material or food.,S of RR trestle. One of 4 other observers,34.68921,-120.60155,100,4,,Santa Ynez River Estuary 4 April 1996.pdf,-13425303.134879522,4121725.823320877
31,Mallard,MALL,Anas platyrhynchos,"N VAFB, Santa Ynez River Estuary",4 Apr 1996,Mark Holmgren,Egg in Nest,Salicornia,,"nest with 7 eggs in Salicornia, ? mix near base of 'peninsula'. Female flushed from nest.",One of 4 other observers,34.68835,-120.59077,150,31,,Santa Ynez River Estuary 4 April 1996.pdf,-13424103.11076877,4121609.393863724
32,Northern Rough-winged Swallow,NRWS,Stelgidopteryx serripennis,"N VAFB, Santa Ynez River Estuary",4 Apr 1996,Mark Holmgren,Cavity Nester Attending Cavity,cliff,,adults entering nest holes in 2 places along Ocean Beach Park road,One of 4 other observers. Different observation than Record # 33. Record duplicated because two nests identified.,34.68503,-120.58825,60,31,,Santa Ynez River Estuary 4 April 1996.pdf,-13423822.585651971,4121159.9333532494
33,Northern Rough-winged Swallow,NRWS,Stelgidopteryx serripennis,"N VAFB, Santa Ynez River Estuary",4 Apr 1996,Mark Holmgren,Cavity Nester Attending Cavity,cliff,,adults entering nest holes in 2 places along Ocean Beach Park road,One of 4 other observers. Different observation than Record # 32. Record duplicated because two nests identified.,34.68498,-120.58825,60,3,,Santa Ynez River Estuary 4 April 1996.pdf,-13423822.585651971,4121153.1645074273
34,Song Sparrow,SOSP,Melospiza melodia,"N VAFB, Santa Ynez River Estuary",4 Apr 1996,Mark Holmgren,Feeding Fledgling,,,adult feeding fledged nestling,25m E of Ocean Beach parking lotOne of 4 other observers,34.6905,-120.59931,20,19,,Santa Ynez River Estuary 4 April 1996.pdf,-13425053.779220145,4121900.4697746327
35,Blue Grosbeak,BLGR,Passerina caerulea,"Goleta, Winchester Cyn",13 Jul 1996,Mark Holmgren,Fledgling under Parental Care,,,"""singing male, 2 juvs""",,34.43852,-119.90552,150,19,,,-13347821.429702679,4087837.6403218103
36,California Scrub-Jay,CASJ,Aphelocoma californica,"Goleta, Winchester Cyn (= Bell Ck N of Hwy 101)",13 Jul 1996,Mark Holmgren,Fledgling Begging,,,"""adult with 2 flying juvs begging, adult feeding cat food pellet""",,34.43852,-119.90552,120,2,,Winchester and Devereux Slough 13 July 1996.pdf,-13347821.429702679,4087837.6403218103
37,Western Bluebird,WEBL,Sialia mexicana,"Goleta, Mesa x Los Carneros Rd, SW",23 Mar 1997,Zev Labinger,Carrying Nesting Material,,,"""Female gathering nest material, male following""","With Gorney, E.",34.42182,-119.86119,100,16,,MSE Nesting Records,-13342886.636675814,4085583.7609676532
38,Black Phoebe,BLPH,Sayornis nigricans,"Goleta, UCSB, Campbell Hall, west side",14 Apr 1997,Elan Sutton,Adult at Nest (clarify),,,"""...pair nesting...saw both partners around and visiting the nest.""",,34.41627,-119.84554,50,123,,MSE Nesting Records,-13341144.4866449,4084834.8169049183
39,Killdeer,KILL,Charadrius vociferus,"Santa Barbara, San Roque Ck",10 May 1997,Patrick McNulty,Egg in Nest,,,"Dam at debris basin a quarter mile down trail from parking lot. ""A nest with 4 eggs [about 8 ft. from top of dam] being loudly attended-distracted by two adults.",,34.45452,-119.73198,250,11,,MSE Nesting Records,-13328503.045270415,4089997.4682655567
40,Killdeer,KILL,Charadrius vociferus,"Goleta, UCSB, Environmental Health and Safety swale",1 Jun 1997,Joan Lentz,Egg in Nest,,,"""Nest with 4 eggs.Territorial adult, incubation seen (?)""","Also observed on 5-June-9. On 6-June-97 observer reports, ""I checked the scrape after the adults were no longer sitting on it, and found nothing, not even the slightest bit of debris. I never saw the adults again.  I'm almost positive the crows won out and ate the 4 beautiful eggs.""",34.42058,-119.85057,50,101,,MSE Nesting Records,-13341704.423683591,4085416.425008669
41,Ash-throated Flycatcher,ATFL,Myiarchus cinerascens,"Gaviota Coast, Farren Rd",7 Jun 1997,Patrick McNulty,Delivering Food to Nest or Cavity,,,"""An Ash-throated was visiting the pipe opening [~4-inch about 4-5 ft. long sticking out of ground at 45-degree angle on west side of road, with food, and cheeping could be heard from that direction with every delivery",several hundred yards up the road from Eucalyptus stand,34.44595,-119.92184,250,6,,MSE Nesting Records,-13349638.163792426,4088840.558974101
42,Blue Grosbeak,BLGR,Passerina caerulea,"Goleta, Atascadero Ck",3 Jul 1997,Sam Sweet,Nest Building,,,"""nest-building"".  On 1 Aug 1997, Holmgren reports: ""Female carrying food wad to likely nest""",between Patterson Ave and Ward Dr. Perhaps same nest record.,34.42337,-119.81606,150,28,,MSE Nesting Records,-13337862.788056312,4085792.9344063434
43,Hooded Oriole,HOOR,Icterus cucullatus,Goleta,25 Jul 1997,Mark Holmgren,Nestling in Nest,palm,17,"""Nestling being fed""",5128 Tabano Way. Fledged on 3-Aug-97,34.44403,-119.80218,100,4,,MSE Nesting Records,-13336317.673524102,4088581.3843694506
45,American Avocet,AMAV,Recurvirostra americana,"Santa Maria River Estuary, Rancho Guadalupe Dunes Preserve",2 Aug 1997,Patrick McNulty,Fledgling under Parental Care,,,"""...a pair shepherding a 3/4 size Avocets around. All young's markings were paler, but especially the head.""",In small lagoon parallel to shore extending 2-300 yards N of outlet to ocean,34.97138,-120.64677,150,218,,MSE Nesting Records,-13430337.002253193,4159992.480238078
46,Hooded Oriole,HOOR,Icterus cucullatus,"Santa Barbara, Mission Cyn",7 Aug 1997,Mark Holmgren,Fledgling under Parental Care,,,"""2 dependent juvs. accompanying adult""","Montrose Pl., John Gallo's house",34.45294,-119.71373,200,15,,MSE Nesting Records,-13326471.464563439,4089784.166844986
47,Hooded Oriole,HOOR,Icterus cucullatus,"Goleta, UCSB Campus",13 Aug 1997,Mark Holmgren,Nestling in Nest,palm,,"""Nest with young, nestling calling""  30m N of Noble Hall",,34.41296,-119.84395,20,110,,MSE Nesting Records,-13340967.488654537,4084388.173026233
48,Lesser Goldfinch,LEGO,Spinus psaltria,"Goleta, Ellwood Cyn Rd",13 Aug 1997,Mark Holmgren,Feeding Fledgling,,,1 fledgling begging and being fed by adult on residence and gardens,Will McClintock's residence at that time.,34.44448,-119.89328,250,8,,MSE Nesting Records,-13346458.879135372,4088642.127882968
49,Cliff Swallow,CLSW,Petrochelidon pyrrhonota,"Goleta, Maria Ygnacia Ck",17 Aug 1997,Mark Holmgren,Nestling in Nest,bridge,,"""Of 40-50 nests, ~2 were still active i.e. nestlings sticking head out""",Patterson Ave Bridge,34.4247,-119.81073,25,10,,MSE Nesting Records,-13337269.455170387,4085972.421803222
50,Rock Pigeon,ROPI,Columba livia,"Goleta, Calle Real, near Bank of America on roof",18 Aug 1997,Mark Holmgren,Feeding Fledgling,,,"""Begging squealing juv. being fed by parent""",,34.44173,-119.82745,25,27,,MSE Nesting Records,-13339130.717056448,4088270.9226324162
51,Acorn Woodpecker,ACWO,Melanerpes formicivorus,"Goleta, Maria Ygnacia Ck",23 Aug 1997,Mark Holmgren,Feeding Fledgling,cottonwood,,"""2 adults feeding dep. fledgling. Fledgling was begging, dark eye, grey faced, juv. feather""",100m N of University Dr.,34.44584,-119.80252,25,27,,MSE Nesting Records,-13336355.522150971,4088825.710268178
52,Bullock's Oriole,BUOR,Icterus bullockii,"Goleta, Patterson Open Space",23 Aug 1997,Mark Holmgren,Feeding Fledgling,,,"""1 adult female tending 2 juvs., feeding one of them","Maria Ygnacio Creek, 100m N. of University Dr.",34.44589,-119.80252,25,24,,MSE Nesting Records,-13336355.522150971,4088832.4596775365
53,Dark-eyed Junco,DEJU,Junco hyemalis,"Goleta, San Pedro Ck nr Cathedral Oaks Rd",29 Aug 1997,Joan Lentz,Feeding Fledgling,,,"""Juv. begging and being fed by adult""",pines,34.45066,-119.8417,50,6,,MSE Nesting Records,-13340717.019800253,4089476.3719082777
54,Anna's Hummingbird,ANHU,Calypte anna,"Goleta, UCSB Campus Lagoon",3 Jan 1998,Dave Hubbard,Egg in Nest,"Australian tree, probably not Eucalyptus",1.7,2 Eggs,"8-Jan-98, Mark Holmgren,  ""2 Eggs"". On 15-Jan-98, Holmgren saw ""Female still incubating but only one egg in nest"". On  27-Jan-98, Holmgren saw ""at least 1 nestling"" W edge of Lagoon Rd. bordering lagoon",34.40725,-119.84389,150,56,,MSE Nesting Records,-13340960.809485093,4083617.7201459734
55,Anna's Hummingbird,ANHU,Calypte anna,"Hope Ranch, 3942 Laguna Blanca Dr.",15 Jan 1998,Mark Holmgren,Egg in Nest,Coast Live Oak,9,"""Female incubating/when she would return, she would do significant shuffling of eggs""",,34.42956,-119.75256,40,6,,MSE Nesting Records,-13330794.000390941,4086628.3173256004
56,Red-shouldered Hawk,RSHA,Buteo lineatus,"Goleta, East Storke Campus, student garden/greenhouse",26 Jan 1998,Mark Holmgren,Carrying Nesting Material,Eucalyptus,,"""One individual of pair carrying nest lining material to the tree which has died since last breeding season.""",,34.42092,-119.85929,100,30,,MSE Nesting Records,-13342675.129643306,4085462.307202098
57,hummingbird sp.,HUMM,Trochilidae sp.,"Goleta, San Jose Ck nr Cathedral Oaks",27 Feb 1998,Joan Lentz,No suitable category,Coast Live Oak,3.66,"""The nests looked remarkably similar in construction: both with lots of spider webs and covered with lichens on the outside.""","28 Feb-Mark Holmgren  records 2 nests not found but 1 ANHU nest found in Oak at 20 ft., female incubating (fairly well seen on nest). Joan has called this Allen's or Anna's.",34.45381,-119.81287,500,9,,MSE Nesting Records,-13337507.678880684,4089901.617127918
58,Bushtit,BUSH,Psaltriparus minimus,"Goleta, UCSB Campus Lagoon",13 Mar 1998,Grant Weybourne,Carrying Nesting Material,,0.8,"Carrying fibrous material. On 19 March, Weybourne saw adults carrying fluffy cattail stuff to NW corner S of freshwater wetland.",,34.41066,-119.85084,125,117,,,-13341734.479946105,4084077.826661073
59,Acorn Woodpecker,ACWO,Melanerpes formicivorus,"Santa Barbara, Rocky Nook Park",7 May 1998,Mark Holmgren,Cavity Nester Attending Cavity,,4.6,"""Entering hole facing NE""",,34.44322,-119.71158,100,117,,MSE Nesting Records,-13326232.127658231,4088472.0468696635
60,American Robin,AMRO,Turdus migratorius,"Santa Barbara, Rocky Nook Park",7 May 1998,Mark Holmgren,Carrying Nesting Material,Coast Live Oak,4.6,"""...Both present in horizontal branch...Female carrying nest material (3/4 done)""",,34.44318,-119.71158,100,117,,MSE Nesting Records,-13326232.127658231,4088466.647514424
61,Black Phoebe,BLPH,Sayornis nigricans,"Santa Barbara, Rocky Nook Park",7 May 1998,Mark Holmgren,Fledgling under Parental Care,,,"""2 stub-tailed juvs. along creek-recently fledged""",,34.44314,-119.71158,100,117,,MSE Nesting Records,-13326232.127658231,4088461.248161772
62,California Towhee,CALT,Melozone crissalis,"Santa Barbara, Rocky Nook Park",7 May 1998,Mark Holmgren,Feeding Fledgling,,,"""Juv. being fed.""",,34.4431,-119.71158,100,117,,MSE Nesting Records,-13326232.127658231,4088455.848811704
63,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Barbara, Rocky Nook Park",7 May 1998,Mark Holmgren,Feeding Fledgling,,,"""Feeding 1or 2 juveniles among Oaks""",,34.44306,-119.71158,100,117,,MSE Nesting Records,-13326232.127658231,4088450.4494642233
64,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Barbara, Rocky Nook Park",7 May 1998,Mark Holmgren,No suitable category,,,"""Ditto for 2nd pair""",,34.44302,-119.71158,100,117,,MSE Nesting Records,-13326232.127658231,4088445.050119326
65,Dark-eyed Junco,DEJU,Junco hyemalis,"Santa Barbara, Rocky Nook Park",7 May 1998,Mark Holmgren,Feeding Fledgling,,,"""Another pair feeding 3 juvs.""",,34.44298,-119.71158,100,117,,MSE Nesting Records,-13326232.127658231,4088439.650777012
66,Oak Titmouse,OATI,Baeolophus inornatus,"Santa Barbara, Rocky Nook Park",7 May 1998,Mark Holmgren,Feeding Fledgling,,,"""...feeding young""",,34.44294,-119.71158,100,9,,MSE Nesting Records,-13326232.127658231,4088434.251437287
67,Virginia Rail,VIRA,Rallus limicola,"N VAFB, Wildlife Management Ponds",11 Jun 1998,Mark Holmgren,Fledgling under Parental Care,,,very territorial adults with 2 minimum black chicks on W side of NE pond,With David Kisner,34.68496,-120.56234,200,9,,SYR VAFB 11 June 1998.pdf,-13420938.297645517,4121150.4569702423
68,Yellow Warbler,YEWA,Setophaga petechia,"N VAFB, Wildlife Management Ponds",11 Jun 1998,Mark Holmgren,Fledgling under Parental Care,,,fledgling following adult male,With David Kisner,34.68496,-120.56234,200,62,,SYR VAFB 11 June 1998.pdf,-13420938.297645517,4121150.4569702423
69,Costa's Hummingbird,COHU,Calypte costae,"N VAFB, Lake Cyn",13 Jun 1998,Mark Holmgren,Egg in Nest,Coast Live Oak,1,"nest, female seen well, 2 eggs, nest tiny, thin-walled, white downy interior; f id'd by small size, 'tink' notes",somewhere along road,34.72123,-120.50573,900,24,,VAFB Lake Cyn and Shuman Ck 13 June 1998.pdf,-13414636.50127171,4126061.6512296097
70,American Coot,AMCO,Fulica americana,"N VAFB, Mod Pond",16 Jun 1998,Mark Holmgren,Fledgling under Parental Care,,,"Pair adults with 5-day-old chick, red-billed, red-headed.",,34.7878,-120.58662,150,25,,San Antonio Ck VAFB 16 June 1998.pdf,-13423641.134881979,4135081.2728363774
71,California Thrasher,CATH,Toxostoma redivivum,"N VAFB, SW of Mod Pond",16 Jun 1998,Mark Holmgren,Fledgling under Parental Care,,,Pair adults tending flying juv just W of bldg at S end Mod Pond,,34.7862,-120.59007,100,24,,San Antonio Ck VAFB 16 June 1998.pdf,-13424025.187125215,4134864.402254103
72,Gadwall,GADW,Mareca strepera,"N VAFB, Mod Pond",16 Jun 1998,Mark Holmgren,Fledgling under Parental Care,,,"female with 7 fledglings, half-grown",,34.78783,-120.58662,150,24,,San Antonio Ck VAFB 16 June 1998.pdf,-13423641.134881979,4135085.339199979
73,Pied-billed Grebe,PBGR,Podilymbus podiceps,"N VAFB, Mod Pond",16 Jun 1998,Mark Holmgren,Fledgling under Parental Care,,,2 Adult with 3 chicks at N end pond (juvs fully grown but with complete striped head),,34.78815,-120.58551,100,24,,San Antonio Ck VAFB 16 June 1998.pdf,-13423517.5702472,4135128.7138370713
74,Pied-billed Grebe,PBGR,Podilymbus podiceps,"N VAFB, Mod Pond",16 Jun 1998,Mark Holmgren,Adult at Nest (clarify),,,adult on nest incubating second clutch,,34.78818,-120.58551,100,222,,San Antonio Ck VAFB 16 June 1998.pdf,-13423517.5702472,4135132.7802179283
75,Black-chinned Hummingbird,BCHU,Archilochus alexandri,"Santa Ynez Valley, Quiota Ck",24 Jul 1998,Mark Holmgren,Adult at Nest (clarify),Maple,8.3,"""Female on nest. Throat slightly spotted, broad bill base, creamy white background""",,34.55851,-120.08409,500,1164,,MSE Nesting Records,-13367699.751173634,4104045.100668391
76,Wrentit,WREN,Chamaea fasciata,"Santa Ynez Mtns, La Cumbre Peak",24 Jul 1998,Mark Holmgren,Feeding Fledgling,,,"""Juv. being fed.""",,34.49476,-119.71496,50,1,,MSE Nesting Records,-13326608.387537114,4095431.265583198
77,Great-tailed Grackle,GTGR,Quiscalus mexicanus,"Santa Barbara, Andree Clark Bird Refuge",28 Jul 1998,Mark Holmgren,Fledgling Begging,,,"""2 juvs. begging from adult female just beyond first observation platform""",,34.42226,-119.65944,200,28,,MSE Nesting Records,-13320427.929408273,4085643.1388399606
78,Hooded Oriole,HOOR,Icterus cucullatus,Goleta,29 Jul 1998,Mark Holmgren,Feeding Fledgling,,,"""...Fledged from nest between Charlotte's front door and my patio.  Adults both coming into area, at least one feeding it""",5128 Tabano Way,34.44399,-119.80218,20,382,,MSE Nesting Records,-13336317.673524102,4088575.9849618645
79,California Towhee,CALT,Melozone crissalis,"Santa Ynez Mtns, Tequepis Trail",30 Aug 1998,Mark Holmgren,Fledgling Begging,,,"Old cabin with pools and diversion site.  ""Begging juv. in juv. plumage with adult. Viewed for 10 min. No food exchange seen but dependence was clear""","N side, Circle V Ranch",34.55182,-119.95665,100,29,,MSE Nesting Records,-13353513.19526694,4103140.844889858
80,Brown-headed Cowbird,BHCO,Molothrus ater,Goleta,11 Sep 1998,Sam Sweet,Host - Brood Parasite Interaction,,,"""Older fledgling Cowbird being fed by HOOR",83 Alpine Dr,34.43588,-119.88495,50,29,,MSE Nesting Records,-13345531.587777063,4087481.3084655544
81,California Towhee,CALT,Melozone crissalis,Goleta,12 Sep 1998,Sam Sweet,Nestling in Nest,Monterey Cypress,6.1,"""Nestlings in nest 3-4 days from fledging""","83 Alpine Dr.  ""...has been monitoring sounds for a week""",34.43592,-119.88495,50,33,,MSE Nesting Records,-13345531.587777063,4087486.707349083
82,Hooded Oriole,HOOR,Icterus cucullatus,"Goleta, Los Verdes Dr",18 Sep 1998,Stephen Rothstein,Feeding Fledgling,,,"""...feeding fledglings...""",,34.44583,-119.7874,30,16,,MSE Nesting Records,-13334672.371450178,4088824.360386791
83,hummingbird sp.,HUMM,Trochilidae sp.,"Goleta, UCSB, Bio III, W edge of 2nd floor",4 Feb 1999,Linda Coutts,Egg in Nest,pine,8,"""...peered into it [the nest] with a mirror to find one egg.""",""" Seems like an Anna's nest but we'll know more in the days to follow.""",34.41222,-119.8433,40,8,,MSE Nesting Records,-13340895.130985523,4084288.321525407
84,Anna's Hummingbird,ANHU,Calypte anna,"Goleta, UCSB Campus Lagoon",25 Feb 1999,Mark Holmgren,Egg in Nest,Myrtaciae,,"""2 eggs, female attending. 2 territorial males also present"" in western border of lagoon.",,34.41009,-119.85059,25,72,,MSE Nesting Records,-13341706.650073403,4084000.916055303
85,White-tailed Kite,WTKI,Elanus leucurus,"Goleta, San Antonio Ck Trail",17 Apr 1999,Mark Holmgren,Nest in Use (clarify),Coast Live Oak,,"""Nest is in coast live oak slightly above W  canyon rim 160-180m from mailbox [at 1150 S.A. Cr. Rd.]""",,34.45552,-119.78144,500,6,,MSE Nesting Records,-13334008.90728505,4090132.471250101
